nombre,temporada,posicion,edad,partidos,goles,asistencias,pases_precisos,rating,etiqueta
Carlos Tevez,2018,Attacker,34,25,13,4,72.0,7.8,1
Carlos Tevez,2019,Attacker,35,20,10,3,70.0,7.5,1
Dario Benedetto,2018,Attacker,27,30,19,5,68.0,7.9,1
Dario Benedetto,2019,Attacker,28,28,17,4,67.0,7.7,1
Fernando Gago,2018,Midfielder,32,18,1,4,88.0,7.6,1
Fernando Gago,2019,Midfielder,33,10,0,2,87.0,7.4,1
Wilmar Barrios,2018,Midfielder,24,32,2,3,84.0,7.5,1
Nahitan Nandez,2018,Midfielder,22,35,4,6,79.0,7.8,1
Nahitan Nandez,2019,Midfielder,23,30,3,5,78.0,7.6,1
Sebastian Villa,2019,Attacker,23,28,8,7,74.0,7.7,1
Sebastian Villa,2020,Attacker,24,22,7,6,73.0,7.5,1
Sebastian Villa,2021,Attacker,25,30,12,9,75.0,7.9,1
Eduardo Salvio,2020,Attacker,29,26,9,7,76.0,7.7,1
Eduardo Salvio,2021,Attacker,30,28,8,8,75.0,7.6,1
Marcos Rojo,2021,Defender,31,28,3,1,81.0,7.4,1
Marcos Rojo,2022,Defender,32,25,2,1,80.0,7.3,1
Luis Vazquez,2022,Attacker,21,24,10,3,70.0,7.5,1
Luis Vazquez,2023,Attacker,22,28,12,4,71.0,7.6,1
Luca Langoni,2022,Attacker,20,20,6,4,72.0,7.3,1
Luca Langoni,2023,Attacker,21,25,8,5,73.0,7.5,1
Exequiel Zeballos,2022,Attacker,20,22,5,6,74.0,7.4,1
Exequiel Zeballos,2023,Attacker,21,26,7,8,75.0,7.6,1
Agustin Rossi,2021,Goalkeeper,25,36,0,0,0.0,7.6,1
Agustin Rossi,2022,Goalkeeper,26,34,0,0,0.0,7.7,1
Carlos Izquierdoz,2019,Defender,30,33,3,1,82.0,7.4,1
Carlos Izquierdoz,2020,Defender,31,28,2,1,81.0,7.3,1
Lisandro Lopez,2018,Defender,34,30,2,1,83.0,7.3,1
Frank Fabra,2019,Defender,27,25,2,5,78.0,7.4,1
Frank Fabra,2022,Defender,30,28,3,6,79.0,7.5,1
Cristian Medina,2022,Midfielder,21,28,4,5,80.0,7.4,1
Cristian Medina,2023,Midfielder,22,32,6,7,81.0,7.6,1
Norberto Briasco,2021,Attacker,25,18,3,2,70.0,6.8,0
Norberto Briasco,2022,Attacker,26,15,2,1,69.0,6.7,0
Mauro Zarate,2019,Attacker,31,14,3,1,68.0,6.6,0
Mauro Zarate,2020,Attacker,32,10,2,0,67.0,6.5,0
Jorman Campuzano,2021,Midfielder,25,12,0,1,75.0,6.7,0
Jorman Campuzano,2022,Midfielder,26,10,0,0,74.0,6.6,0
Diego Gonzalez,2021,Midfielder,28,14,1,1,77.0,6.7,0
Diego Gonzalez,2022,Midfielder,29,11,0,0,76.0,6.6,0
Edwin Cardona,2021,Midfielder,28,16,2,3,76.0,6.8,0
Gonzalo Maroni,2019,Midfielder,20,12,1,2,72.0,6.6,0
Gonzalo Maroni,2020,Midfielder,21,10,1,1,71.0,6.5,0
Diego Valoyes,2022,Attacker,26,13,2,1,68.0,6.5,0
Alan Varela,2022,Midfielder,21,32,1,2,88.5,7.5,1
Alan Varela,2023,Midfielder,22,24,1,1,89.1,7.6,1
Kevin Zenon,2024,Midfielder,22,20,4,7,78.5,7.8,1
Miguel Merentiel,2023,Attacker,27,38,18,5,71.0,7.7,1
Miguel Merentiel,2024,Attacker,28,15,9,2,72.0,7.8,1
Ezequiel Fernandez,2023,Midfielder,21,30,0,3,86.0,7.4,1
Ezequiel Fernandez,2024,Midfielder,22,18,2,2,87.5,7.7,1
